"Properties Serviced","Collection Day","Food Bin Collection Days","Green household bin collection dates","Brown garden bin collection dates","Download Calendar 2014"
,MONDAY,"Collected Weekly","31/03/2014, 14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014","07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014",http://www.edinburgh.gov.uk/downloads/file/1917/2014_bin_day_collection_calendar_mon_2b
,MONDAY,"Collected Weekly","31/03/2014, 14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014","07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014",http://www.edinburgh.gov.uk/downloads/file/1917/2014_bin_day_collection_calendar_mon_2b
,FRIDAY,"Collected Weekly","04/04/2014, 18/04/2014, 02/05/2014, 16/05/2014, 30/05/2014, 13/06/2014, 27/06/2014, 11/07/2014, 25/07/2014, 08/08/2014, 22/08/2014, 05/09/2014, 19/09/2014","11/04/2014, 25/04/2014, 09/05/2014, 23/05/2014, 06/06/2014, 20/06/2014, 04/07/2014, 18/07/2014, 01/08/2014, 15/08/2014, 29/08/2014, 12/09/2014, 26/09/2014",http://www.edinburgh.gov.uk/downloads/file/1916/2014_bin_day_collection_calendar_fri_2a
,FRIDAY,"Collected Weekly","04/04/2014, 18/04/2014, 02/05/2014, 16/05/2014, 30/05/2014, 13/06/2014, 27/06/2014, 11/07/2014, 25/07/2014, 08/08/2014, 22/08/2014, 05/09/2014, 19/09/2014","11/04/2014, 25/04/2014, 09/05/2014, 23/05/2014, 06/06/2014, 20/06/2014, 04/07/2014, 18/07/2014, 01/08/2014, 15/08/2014, 29/08/2014, 12/09/2014, 26/09/2014",http://www.edinburgh.gov.uk/downloads/file/1916/2014_bin_day_collection_calendar_fri_2a
,TUESDAY,"Collected Weekly","08/04/2014, 22/04/2014, 06/05/2014, 20/05/2014, 03/06/2014, 17/06/2014, 01/07/2014, 15/07/2014, 29/07/2014, 12/08/2014, 26/08/2014, 09/09/2014, 23/09/2014","15/04/2014, 29/04/2014, 13/05/2014, 27/05/2014, 10/06/2014, 24/06/2014, 08/07/2014, 22/07/2014, 05/08/2014, 19/08/2014, 02/09/2014, 16/09/2014, 30/09/2014",http://www.edinburgh.gov.uk/downloads/file/1908/2014_bin_day_collection_calendar_tue_1b
,TUESDAY,"Collected Weekly","08/04/2014, 22/04/2014, 06/05/2014, 20/05/2014, 03/06/2014, 17/06/2014, 01/07/2014, 15/07/2014, 29/07/2014, 12/08/2014, 26/08/2014, 09/09/2014, 23/09/2014","15/04/2014, 29/04/2014, 13/05/2014, 27/05/2014, 10/06/2014, 24/06/2014, 08/07/2014, 22/07/2014, 05/08/2014, 19/08/2014, 02/09/2014, 16/09/2014, 30/09/2014",http://www.edinburgh.gov.uk/downloads/file/1908/2014_bin_day_collection_calendar_tue_1b
,TUESDAY,"Collected Weekly","08/04/2014, 22/04/2014, 06/05/2014, 20/05/2014, 03/06/2014, 17/06/2014, 01/07/2014, 15/07/2014, 29/07/2014, 12/08/2014, 26/08/2014, 09/09/2014, 23/09/2014","15/04/2014, 29/04/2014, 13/05/2014, 27/05/2014, 10/06/2014, 24/06/2014, 08/07/2014, 22/07/2014, 05/08/2014, 19/08/2014, 02/09/2014, 16/09/2014, 30/09/2014",http://www.edinburgh.gov.uk/downloads/file/1908/2014_bin_day_collection_calendar_tue_1b
,TUESDAY,"Collected Weekly","08/04/2014, 22/04/2014, 06/05/2014, 20/05/2014, 03/06/2014, 17/06/2014, 01/07/2014, 15/07/2014, 29/07/2014, 12/08/2014, 26/08/2014, 09/09/2014, 23/09/2014","15/04/2014, 29/04/2014, 13/05/2014, 27/05/2014, 10/06/2014, 24/06/2014, 08/07/2014, 22/07/2014, 05/08/2014, 19/08/2014, 02/09/2014, 16/09/2014, 30/09/2014",http://www.edinburgh.gov.uk/downloads/file/1908/2014_bin_day_collection_calendar_tue_1b
,TUESDAY,"Collected Weekly","08/04/2014, 22/04/2014, 06/05/2014, 20/05/2014, 03/06/2014, 17/06/2014, 01/07/2014, 15/07/2014, 29/07/2014, 12/08/2014, 26/08/2014, 09/09/2014, 23/09/2014","15/04/2014, 29/04/2014, 13/05/2014, 27/05/2014, 10/06/2014, 24/06/2014, 08/07/2014, 22/07/2014, 05/08/2014, 19/08/2014, 02/09/2014, 16/09/2014, 30/09/2014",http://www.edinburgh.gov.uk/downloads/file/1908/2014_bin_day_collection_calendar_tue_1b
,TUESDAY,"Collected Weekly","08/04/2014, 22/04/2014, 06/05/2014, 20/05/2014, 03/06/2014, 17/06/2014, 01/07/2014, 15/07/2014, 29/07/2014, 12/08/2014, 26/08/2014, 09/09/2014, 23/09/2014","15/04/2014, 29/04/2014, 13/05/2014, 27/05/2014, 10/06/2014, 24/06/2014, 08/07/2014, 22/07/2014, 05/08/2014, 19/08/2014, 02/09/2014, 16/09/2014, 30/09/2014",http://www.edinburgh.gov.uk/downloads/file/1908/2014_bin_day_collection_calendar_tue_1b
